,date,Unemployment,real Consumption Growth,GB_UNEMPF2,GB_gRPCEF2,SPF_UNEMPF2,SPF_gRPCEF2,YoY_Unemployment(A),YoY_rPCE(A),YoY_Unemployment(GB),YoY_rPCE(GB),YoY_Unemployment(SPF),YoY_rPCE(SPF),MSE_Unemp(GB),MSE_rPCE(GB),MSE_unemp(SPF),MSE_rPCE(SPF)
0,1/1/82,8.833333333,2.979224182,9.1,5.5,8.8818,3.8815,,,,,,,,,,
1,4/1/82,9.433333333,1.224314919,9.5,4,9.25,3.2165,,,,,,,,,,
2,7/1/82,9.9,2.711789929,10.1,2.6,9.419,2.6633,,,,,,,,,,
3,10/1/82,10.66666667,7.186115031,11.1,1.3,10.1447,2.8883,,,,,,,,,,
4,1/1/83,10.36666667,4.012921235,10.3,4.1,10.1784,3.5972,1.533333337,1.033697053,1.266666667,-0.379224182,0.585666667,-0.315924182,0.071111113,1.996346416,0.898072117,1.821477478
5,4/1/83,10.13333333,8.395720141,9.2,3.1,9.7385,3.9194,0.699999997,7.171405222,1.666666667,0.075685081,0.711366667,1.663985081,0.934444451,50.34924432,0.000129201,30.33167661
6,7/1/83,9.366666667,7.376527641,8.9,2.7,9.0469,3.7221,-0.533333333,4.664737712,0.4,1.388210071,0.2784,0.885410071,0.87111111,10.73563338,0.658911004,14.28331742
7,10/1/83,8.533333333,6.518473084,8,3.6,8.5472,3.2217,-2.133333337,-0.667641947,-1.46666667,-4.086115031,-0.92816667,-3.266715031,0.444444445,11.68595823,1.452426695,6.755180896
8,1/1/84,7.866666667,3.370522438,6.9,2.5,7.7226,3.1313,-2.500000003,-0.642398797,-1.46666667,-1.312921235,-1.31976667,-0.290821235,1.067777777,0.44960034,1.39295072,0.123606782
9,4/1/84,7.433333333,5.722603743,6.6,2.6,7.4143,3.2871,-2.699999997,-2.673116398,-2.13333333,-4.795720141,-1.58613333,-5.174020141,0.321111111,4.50544665,1.240698952,6.254519532
10,7/1/84,7.433333333,2.998481851,7,3.5,6.8846,2.423,-1.933333334,-4.37804579,-2.466666667,-4.876527641,-1.644066667,-4.245227641,0.284444444,0.248484156,0.083675205,0.017640661
11,10/1/84,7.3,5.278265204,7.1,3.2,7.2774,3.4189,-1.233333333,-1.24020788,-1.933333333,-3.918473084,-1.119033333,-3.231373084,0.49,7.173104503,0.01306449,3.96473887
12,1/1/85,7.233333333,6.972637557,6.9,3.5,6.9792,3.5973,-0.633333334,3.602115119,-0.866666667,0.129477562,-0.982066667,-0.947522438,0.054444444,12.0592116,0.121614938,20.6992019
13,4/1/85,7.3,3.727600652,7.1,2.1,7.1483,3.1081,-0.133333333,-1.995003091,-0.333333333,-2.522603743,-0.155933333,-2.303703743,0.04,0.278362448,0.00051076,0.095296093
14,7/1/85,7.2,7.812076802,7.2,3.2,7.2355,2.8355,-0.233333333,4.813594951,-0.533333333,0.501518149,-0.454133333,0.598818149,0.09,18.59400635,0.04875264,17.76434349
15,10/1/85,7.033333333,0.867473022,7.2,2,7.1,2.2604,-0.266666667,-4.410792182,-0.2,-3.178265204,-0.1517,-2.170165204,0.004444444,1.519122751,0.013217335,5.020409255
16,1/1/86,7.033333333,3.545870206,6.8,3.4,6.7115,2.6265,-0.2,-3.426767351,-0.033333333,-3.772637557,0.002166667,-4.137137557,0.027777778,0.119626199,0.040871361,0.50462583
17,4/1/86,7.166666667,4.425056534,6.8,2.5,6.7893,2.4634,-0.133333333,0.697455882,-0.1,-1.727600652,-0.2,-1.467200652,0.001111111,5.880899193,0.004444444,4.68573791
18,7/1/86,6.966666667,7.262912083,6.7,2.6,6.9458,3.1058,-0.233333333,-0.549164719,-0.4,-4.412076802,-0.4885,-5.185576802,0.027777778,14.92208976,0.065110028,21.496317
19,10/1/86,6.833333333,2.479581575,6.9,2.6,6.9375,2.4267,-0.2,1.612108553,-0.233333333,1.632526978,-0.244033333,1.595926978,0.001111111,0.000416912,0.001938934,0.000261843
20,1/1/87,6.6,0.371902346,6.7,1.5,6.7409,1.1625,-0.433333333,-3.17396786,-0.333333333,-0.945870206,-0.087533333,-0.440070206,0.01,4.964419156,0.11957764,7.474196383
21,4/1/87,6.266666667,5.566869962,6.3,0.8,6.4643,2.0682,-0.9,1.141813428,-0.266666667,-1.825056534,-0.229166667,-1.998356534,0.401111111,8.802317371,0.450017361,9.86066739
22,7/1/87,6,4.645254717,5.9,1.9,5.9773,2.6082,-0.966666667,-2.617657366,-0.266666667,-5.762912083,-0.225766667,-6.100412083,0.49,9.892627235,0.54893281,12.12958042
23,10/1/87,5.833333333,0.844116538,6.3,0.5,6.1368,0.8365,-1,-1.635465037,-0.533333333,-1.679581575,-0.369033333,-0.411381575,0.217777778,0.001946269,0.398118935,1.498380322
24,1/1/88,5.7,7.259301654,5.7,2,6.0333,2.0557,-0.9,6.887399308,-0.7,1.528097654,-0.6227,2.236297654,0.04,28.72211422,0.07689529,21.6327466
25,4/1/88,5.466666667,2.98731313,5.7,2.2,5.4947,1.523,-0.8,-2.579556832,0.033333333,-5.066869962,-0.129866667,-4.730369962,0.694444444,6.186726607,0.449078684,4.62599712
26,7/1/88,5.466666667,3.605817068,5.5,1.7,5.4706,1.3799,-0.533333333,-1.039437649,-0.3,-2.645254717,0.0333,-2.589554717,0.054444444,2.578648456,0.321073334,2.402862925
27,10/1/88,5.333333333,4.626190621,5.3,2.4,5.4667,2.4908,-0.5,3.782074083,-0.133333333,1.355883462,-0.338633333,0.678883462,0.134444445,5.886400929,0.026039201,9.62979203
28,1/1/89,5.2,1.868681903,5.3,2.7,5.4235,1.8335,-0.5,-5.390619751,-0.2,-5.559301654,-0.2294,-5.879401654,0.09,0.028453584,0.07322436,0.238907749
29,4/1/89,5.233333333,1.87741593,5.6,1.3,5.4765,2.5905,-0.233333334,-1.1098972,-0.166666667,-0.58731313,3.3333E-05,-0.49651313,0.004444444,0.27309411,0.054460001,0.376240017
30,7/1/89,5.233333333,3.930504054,5.4,2.6,5.4867,0.7815,-0.233333334,0.324686986,-0.166666667,-0.905817068,-0.043166667,-1.772317068,0.004444444,1.514140227,0.036163361,4.397426002
31,10/1/89,5.366666667,1.747595622,5.8,2,5.6059,1.4557,0.033333334,-2.878594999,0.266666667,-3.326190621,0.143166667,-2.035690621,0.054444444,0.200341841,0.012063361,0.71048779
32,1/1/90,5.3,3.407440336,5.6,2.3,5.5357,3.0417,0.1,1.538758433,0.2,0.731318097,0.2867,-1.087181903,0.01,0.651959896,0.03485689,6.895562648
33,4/1/90,5.333333333,1.226541444,5.8,1.7,5.4778,2.016,0.1,-0.650874486,0.566666667,0.12258407,0.372566667,-0.42171593,0.217777778,0.598238138,0.074292588,0.052513644
34,7/1/90,5.7,1.593493893,6.3,0.5,5.7769,1.4962,0.466666667,-2.337010161,0.366666667,-1.630504054,0.302366667,-0.888804054,0.01,0.499150879,0.02699449,2.097300928
35,10/1/90,6.133333333,-3.004895918,6.4,2.5,6.4467,0.5681,0.766666666,-4.75249154,0.433333333,-0.047595622,0.111133333,0.268404378,0.111111111,22.1360456,0.429723951,25.20939582
36,1/1/91,6.6,-1.497726924,6.5,3,6.8377,1.8357,1.3,-4.90516726,1,-2.907440336,0.4769,-1.911240336,0.09,3.990912863,0.67749361,8.963598426
37,4/1/91,6.833333333,3.359302126,6.6,2.5,6.8369,2.3229,1.5,2.132760682,1.066666667,1.273458556,1.113366667,-0.658441444,0.187777777,0.738400144,0.149485334,7.790809308
38,7/1/91,6.866666667,2.00587565,6.7,2.5,6.6773,2.4246,1.166666667,0.412381757,0.8,1.406506107,1.1377,0.242206107,0.134444445,0.988283223,0.000839068,0.028959752
39,10/1/91,7.1,-0.198790629,7.2,1.9,6.7538,2.5386,0.966666667,2.806105289,0.466666667,5.504895918,0.703566667,5.327795918,0.25,7.283470859,0.06922161,6.358923628
40,1/1/92,7.366666667,7.701749529,7.2,3.1,6.9225,2.5848,0.766666667,9.199476453,0.1,3.997726924,0.0773,3.922326924,0.444444445,27.05819816,0.475226402,27.84830715
41,4/1/92,7.6,2.738581911,7.2,2.8,6.9027,2.6075,0.766666667,-0.620720215,0.366666667,-1.459302126,-0.079533333,-0.820702126,0.16,0.703219621,0.71605444,0.039992765
42,7/1/92,7.633333333,4.363314851,7.8,1.8,7.2694,2.4371,0.766666666,2.357439201,0.333333333,1.09412435,0.055833333,0.57892435,0.187777777,1.595964413,0.505284027,3.163115075
43,10/1/92,7.366666667,4.85403014,7.2,2.9,7.2179,2.1353,0.266666667,5.052820769,0.1,2.998790629,-0.1973,2.806290629,0.027777778,4.219039816,0.215265068,5.04689767
44,1/1/93,7.133333333,1.542592406,6.9,2.7,6.8939,3.1644,-0.233333334,-6.159157123,0.433333333,-5.901749529,-0.097266667,-5.264649529,0.444444445,0.066258669,0.018514138,0.800143836
45,4/1/93,7.066666667,3.688532247,6.9,2,6.725,3.0768,-0.533333333,0.949950336,-0.4,0.161418089,-0.3821,-0.603281911,0.017777778,0.621783105,0.022871521,2.412530413
46,7/1/93,6.8,4.523461269,6.7,2.2,6.7353,2.591,-0.833333333,0.160146418,-0.733333333,-1.663314851,-0.739433333,-1.198914851,0.01,3.325011,0.00881721,1.847047533
47,10/1/93,6.633333333,3.558616445,6.5,2.2,6.5375,3.079,-0.733333334,-1.295413695,-0.466666667,-2.85403014,-0.641666667,-1.77723014,0.071111111,2.429285223,0.008402778,0.232147087
48,1/1/94,6.566666667,4.654828326,6.8,2.4,6.4321,2.9687,-0.566666666,3.11223592,-0.433333333,0.657407594,-0.398033333,1.048407594,0.017777778,6.02618211,0.028437201,4.259387359
49,4/1/94,6.2,3.14572045,6.3,2.3,6.2324,2.8412,-0.866666667,-0.542811797,-0.566666667,-1.488532247,-0.529166667,-0.609532247,0.09,0.89438717,0.11390625,0.004451618
50,7/1/94,6,3.082772511,6.1,2.5,5.9931,2.4052,-0.8,-1.440688758,0,-2.123461269,-0.3679,-1.554761269,0.64,0.466178302,0.18671041,0.013012538
51,10/1/94,5.633333333,4.399239178,5.5,2.4,5.763,2.6618,-1,0.840622733,-0.333333333,-1.258616445,-0.400933333,-0.717416445,0.444444445,4.406805126,0.358880872,2.42748608
52,1/1/95,5.466666667,0.998706874,5.6,2.1,5.4586,2.5355,-1.1,-3.656121452,-0.466666667,-2.154828326,-0.573566667,-2.249628326,0.401111111,2.25388105,0.277132054,1.978222913
53,4/1/95,5.666666667,3.553290681,6,2,5.602,2.5775,-0.533333333,0.407570231,-0.7,-0.74572045,-0.437,-0.48392045,0.027777778,1.330079395,0.009280111,0.794755634
54,7/1/95,5.666666667,3.671683508,5.8,2.2,5.7271,2.4168,-0.333333333,0.588910997,-0.4,-0.982772511,-0.5414,-0.547272511,0.004444444,2.470189049,0.043291738,1.290912964
55,10/1/95,5.566666667,2.824618114,5.6,2.3,5.65,2.3233,-0.066666666,-1.574621064,0.366666667,-2.399239178,-0.031333333,-1.821739178,0.187777777,0.679995034,0.001248444,0.061067362
56,1/1/96,5.533333333,3.737985098,5.6,2.7,5.7806,2.1419,0.066666666,2.739278224,0.333333333,1.201293126,0.260433333,1.418093126,0.071111111,2.365398162,0.037545521,1.745530063
57,4/1/96,5.5,4.369604584,5.5,2.6,5.56,1.9657,-0.166666667,0.816313903,-0.066666667,-1.253290681,-0.016666667,-1.229990681,0.01,4.283263134,0.0225,4.18736245
58,7/1/96,5.266666667,2.448019175,5.4,2.8,5.4456,2.1716,-0.4,-1.223664333,-0.066666667,-0.971683508,0.113933333,-1.529783508,0.111111111,0.063494336,0.264127471,0.093708949
59,10/1/96,5.333333333,3.225320267,5.2,3,5.3139,2.1308,-0.233333334,0.400702153,-0.066666667,-0.224618114,-0.006666667,-0.858918114,0.027777778,0.391025436,0.051377778,1.586643217
60,1/1/97,5.233333333,4.282899018,5,3.2,5.3237,2.2533,-0.3,0.54491392,-0.133333333,-0.937985098,-0.087733333,-1.566385098,0.027777778,2.198989498,0.045057138,4.457583543
61,4/1/97,5,1.809877589,4.7,3.2,5.0775,2.6112,-0.5,-2.559726995,-0.3,-1.369604584,-0.1861,-2.238804584,0.04,1.416391353,0.09853321,0.102991194
62,7/1/97,4.866666667,6.993438195,4.6,3.3,4.8931,2.525,-0.4,4.54541902,-0.266666667,0.751980825,0.057033333,-0.194719175,0.017777778,14.39017334,0.208879467,22.46891011
63,10/1/97,4.666666667,4.868494531,4.6,3.8,4.7974,2.6371,-0.666666666,1.643174264,-0.633333333,-0.025320267,-0.255833333,-0.614120267,0.001111111,2.783874,0.168784028,5.0953786
64,1/1/98,4.633333333,4.103624711,4.6,3.7,4.7031,2.7336,-0.6,-0.179274307,-0.633333333,-0.982899018,-0.340233333,-1.757899018,0.001111111,0.645812676,0.067478721,2.492055978
65,4/1/98,4.4,7.231956863,4.4,3.3,4.5828,3.0925,-0.6,5.422079274,-0.4,1.990122411,-0.2026,0.827222411,0.04,11.77832791,0.15792676,21.11270959
66,7/1/98,4.533333333,5.320156935,4.7,2.7,4.5341,2.9398,-0.333333334,-1.67328126,-0.266666667,-3.293438195,-0.163566667,-4.259838195,0.004444444,2.624908494,0.028820721,6.690276778
67,10/1/98,4.433333333,5.907566382,4.5,2.9,4.7203,2.3962,-0.233333334,1.039071851,-0.266666667,-1.568494531,-0.083866667,-1.775994531,0.001111111,6.799402437,0.022340285,7.924598735
68,1/1/99,4.3,4.172824159,4.2,4,4.4303,2.6444,-0.333333333,0.069199448,0.066666667,-1.403624711,-0.099233333,-1.163824711,0.16,2.169211003,0.05480281,1.520348577
69,4/1/99,4.266666667,6.267975501,4.1,4.4,4.3027,2.8438,-0.133333333,-0.963981362,0.1,-4.331956863,0.3203,-4.835756863,0.054444444,11.34325898,0.205783201,14.99064553
70,7/1/99,4.233333333,4.572335939,4,1.7,4.3568,2.6715,-0.3,-0.747820996,-0.333333333,-1.320156935,-0.103033333,-2.675756935,0.001111111,0.327568427,0.038795868,3.716936985
71,10/1/99,4.066666667,5.980911743,4,5.2,4.2167,3.0829,-0.366666666,0.073345361,-0.333333333,-1.507566382,-0.130633333,-3.063766382,0.001111111,2.499281939,0.055711734,9.841470088
